frame_num,frame_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped,FramePressureUnsmoothed,FramePressureSmoothed
88,486.271,1,687606,558.76333,86992256,9562,2805,4.00687,4.01033
89,486.324,1,671454,558.76967,86580400,8854,2473,4.01504,4.01033
90,486.378,1,651234,435.27323,85946936,8107,2342,4.00687,4.01033
91,486.431,1,667504,435.27406,86000752,7729,2258,3.99285,4.01033
92,486.484,1,646776,435.27312,89604728,7646,2281,4.0057,4.01033
93,486.537,1,599002,435.27234,92572744,7588,2247,3.99753,4.01033
94,486.59,1,659910,571.29687,92490296,7230,2075,4.02789,4.01033
95,486.643,1,691199,571.29186,93871096,6770,1906,4.0092,4.01033
96,486.697,1,698114,571.3005,94378584,6494,1811,4.0092,4.01033
97,486.75,1,705017,571.29507,93336064,6222,1762,3.98585,4.01033
98,486.803,1,706866,571.29478,92609920,6436,1775,4.0057,4.01033
99,486.857,1,708245,571.29593,92448032,6120,1679,4.01388,4.01033
100,486.91,1,708399,571.29629,92981112,6543,1775,4.01855,4.01033
101,486.963,1,707298,571.29584,93246976,7201,1885,4.01738,4.01033
