Feature_Index	Peak_Index	Filtered_Peak_Index
25	125146	1718
25	125206	
25	126933	
25	126993	
26	25677	
26	25650	
26	25703	404
26	25730	
26	25767	
26	25621	
26	26827	
26	26800	
27	126068	
27	126013	
27	126042	
27	126139	
27	126095	
27	126121	
27	127858	
27	127889	
27	127937	1765
27	127962	
27	127986	
27	128004	
27	128018	
27	131351	
27	131374	
27	131394	
27	131411	
27	131427	
28	35338	
28	35369	
28	35353	
28	36838	
28	36824	
28	36851	
28	38327	
28	38339	557
28	38351	
28	39709	
28	39731	
28	39721	
28	40959	
28	40970	
28	40981	
28	42144	
28	42123	
28	42135	
28	43282	
29	124094	
29	124176	
29	124121	
29	124148	
29	126103	
29	126076	
29	126044	
29	126016	
29	127974	
29	127953	
29	127928	
29	127901	
29	129709	
29	129725	
29	129689	
29	129668	
29	131375	
29	131395	
29	131428	1819
29	131412	
29	133107	
29	133170	
29	133131	
29	133151	
29	134796	
29	134774	
29	134731	
29	134754	
29	136230	
29	136303	
29	136279	
29	136254	
29	137637	
29	137677	
29	137695	
29	137658	
29	139026	
29	139008	
29	139046	
29	138990	
29	140374	
30	124214	
30	124232	
30	124196	
30	126124	
30	126159	
30	126140	
30	128019	
30	128007	
30	127990	
30	129758	
30	129742	
30	129771	
30	131444	1820
30	131460	
30	131473	
30	133191	
30	133206	
30	133223	
30	134814	
30	134831	
30	134843	
30	136324	
30	136345	
30	136362	
30	137720	
30	137741	
30	137758	
30	139065	
30	139082	
30	139101	
30	140432	
31	89978	1218
31	94435	
31	94396	
31	94521	
32	32545	
32	32556	
32	32536	486
32	32525	
32	32566	
33	139103	
33	139083	
33	139136	
33	139115	
33	139127	
33	141756	
33	141726	
33	141677	
33	141743	
33	141692	1947
33	141710	
33	141662	
33	141644	
34	18944	
34	18976	
34	18955	
34	19000	
34	18967	
34	18986	
34	18993	
34	20134	
34	20159	
34	20144	
34	20152	
34	20123	
34	20096	
34	20110	
34	21404	
34	21376	
34	21418	
34	21447	
34	21428	
34	21391	
34	21436	
34	22743	367
34	22700	
34	24057	
34	24069	
34	24035	
34	23987	
34	24047	
34	24021	
34	24004	
34	25223	
34	25290	
34	25238	
34	25253	
34	25266	
34	25278	
34	25207	
34	26331	
34	28744	
34	28714	
34	28757	
34	28726	
34	28790	
34	28770	
34	28782	
35	100914	
35	100927	
35	100888	1390
35	100901	
35	100874	
35	103737	
35	103751	
35	103723	
35	103709	
35	103697	
35	103683	
36	1123	
36	1156	
36	1137	
36	1129	
36	1146	
36	1114	
36	1102	
36	2519	
36	2529	70
36	2509	
36	2562	
36	2541	
36	2551	
36	2574	
36	3906	
36	3895	
36	3936	
36	5246	
36	5256	
36	5266	
36	5274	
36	5283	
36	5294	
36	5305	
36	6623	
36	6631	
36	6615	
36	6640	
36	6607	
36	6648	
36	6660	
37	75044	
37	75054	
37	76793	
37	76782	
37	76757	
37	76770	
37	76804	
37	76812	
37	76818	
37	80114	1058
37	81773	
37	81785	
37	81817	
37	81761	
37	81745	
37	81796	
37	81806	
37	83568	
37	83556	
37	83520	
37	83533	
37	83544	
37	83505	
37	83491	
38	23381	
38	23342	
38	23270	
38	23305	375
39	14300	
39	15572	
39	15564	
39	15557	
39	15547	268
39	15537	
39	15527	
39	15516	
39	15494	
39	15506	
39	16749	
39	16774	
39	16740	
39	16784	
39	16792	
39	16767	
39	16757	
39	17897	
39	17888	
39	17880	
39	17905	
39	17872	
40	36868	
40	36855	
40	36841	
40	36814	
40	36827	
40	36803	
40	36785	
40	38342	
40	38314	
40	38329	556
40	38299	
40	38283	
40	38355	
40	38367	
40	39745	
40	39734	
40	39723	
40	39661	
40	39711	
40	39695	
40	39678	
40	40983	
41	123573	
41	139891	1927
41	139934	
41	139976	
42	139104	
42	139084	
42	139137	
42	139116	
42	139128	
42	139143	
42	140379	
42	140394	
42	140411	
42	140446	
42	140429	
42	140459	
42	140470	
42	140480	
42	141757	
42	141696	
42	141713	
42	141730	
42	141745	
42	141769	
42	142982	
42	142927	
42	142940	
42	142969	1970
42	142955	
42	142996	
42	143012	
43	62658	
43	62605	
43	64111	
43	64054	
43	65326	
43	65371	
43	65417	854
43	65636	
43	67208	
43	67268	
44	136308	
44	137620	
44	137680	
44	137660	1902
44	137642	
44	137700	
44	137722	
44	137743	
45	116172	
45	116155	
45	116083	
45	116119	
45	116062	
45	116102	
45	116039	
45	116137	
45	118194	
45	118143	1620
45	118106	
45	118124	
45	118085	
46	92933	
46	95811	
46	101477	
46	101436	
46	101520	1406
46	102900	
46	102952	
46	105584	
46	105664	
47	71481	
47	71497	
47	71511	
47	71468	
47	71453	
47	73224	
47	73182	
47	73167	
47	73238	
47	73211	
47	73197	
47	73155	
47	75049	
47	75038	
47	75003	
47	74979	
47	74990	
47	75015	
47	75026	
47	76683	
47	76719	
47	76703	
47	76769	
47	76756	
47	76731	
47	76745	
47	78407	
47	78392	
47	78333	
47	78377	
47	78350	
47	78364	
47	78319	
47	80070	
47	80093	
47	80004	
47	80082	
47	80056	1057
47	80022	
47	80041	
47	81668	
47	81647	
47	81690	
47	81713	
47	81729	
47	81746	
47	81762	
47	83417	
47	83456	
47	83400	
47	83436	
47	83475	
47	83490	
47	83506	
47	85238	
47	85202	
47	85251	
47	85181	
47	85158	
47	85223	
47	85265	
47	87156	
47	87076	
47	87100	
47	87137	
47	87121	
47	87187	
47	87174	
47	88949	
47	88965	
47	89003	
47	88993	
47	88981	
47	88930	
47	88909	
48	131479	
48	131465	
48	131449	
48	131437	
48	131420	
48	136309	
48	136331	
48	137725	
48	137744	
48	137762	
48	137701	1904
48	140417	
48	140435	
49	3939	
49	3984	
49	3961	
49	3966	
49	3955	
49	3948	
49	3974	
49	5307	
49	5289	
49	5300	
49	5324	
49	5315	124
49	5335	
49	9341	
49	9327	
49	9323	
49	9332	
49	9317	
50	68167	
50	68158	
50	68146	
50	68133	
50	68120	
50	68110	
50	69916	915
50	69925	
50	69906	
50	69934	
50	69945	
50	69894	
50	71622	
50	71611	
50	71592	
50	71601	
50	71581	
50	71631	
50	71644	
50	75095	
50	75118	
50	75104	
50	75110	
51	32560	
51	33915	
51	33908	
51	36864	
51	36872	
51	36880	
51	36890	
51	36900	
51	36920	
51	36910	
51	36853	
51	38352	
51	38364	
51	38374	
51	38385	
51	38396	
51	38407	
51	38415	
51	38423	
51	39784	
51	39753	
51	39744	
51	39762	
51	39770	
51	39778	
51	39733	
51	40990	
51	41032	
51	41005	586
51	41025	
51	40997	
51	41012	
51	41018	
51	40980	
51	42159	
51	42167	
51	42174	
51	42181	
51	42150	
51	42143	
51	43296	
51	43331	
51	43324	
51	43339	
51	43347	
51	43315	
51	43306	
51	43355	
51	45782	
51	45775	
51	45725	
51	45716	
51	45744	
51	45734	
51	45754	
51	45764	
51	46992	
51	47000	
51	47011	
51	47022	
51	47063	
51	47051	
51	47037	
51	47075	
52	1100	
52	1086	
52	1112	
52	1121	41
52	1128	
52	1145	
52	1136	
52	2540	
52	2495	
52	2528	
52	2518	
52	2508	
52	2550	
52	2563	
52	3943	
52	3904	
52	3893	
52	3914	
52	3933	
52	3924	
52	3884	
52	5275	
52	5255	
52	5295	
52	5245	
52	5285	
52	5233	
52	5265	
53	66390	863
53	66380	
53	66403	
53	66416	
54	19007	
54	20188	
54	20192	
54	20181	
54	20204	
54	20173	
54	20198	
54	20165	
54	21454	
54	21464	
54	21474	354
54	21484	
54	21492	
54	21501	
54	21510	
54	22770	
54	22779	
54	22787	
54	22794	
54	22801	
54	22808	
54	22814	
54	24127	
54	24121	
54	24102	
54	24109	
54	24115	
54	24080	
54	24092	
54	25304	
54	25323	
54	25331	
54	25345	
54	25314	
54	25352	
54	25338	
54	26419	
54	26428	
54	26435	
54	26442	
54	26448	
54	26453	
55	49735	
55	49746	
55	49756	
55	49764	
55	49770	
55	52255	
55	52269	
55	52247	
55	52262	
55	52240	
55	52231	
55	52223	
55	53563	
55	53571	
55	53555	
55	53548	
55	53540	
55	53533	
55	53525	
55	54864	
55	54890	
55	54873	
55	54881	730
55	54898	
55	54905	
55	54910	
55	56260	
55	56255	
55	56249	
55	56218	
55	56241	
55	56234	
55	56226	
55	57654	
55	57649	
55	57634	
55	57628	
55	57641	
55	57621	
55	57615	
55	58991	
55	58986	
55	58981	
55	58969	
55	58975	
55	58996	
55	58965	
55	60401	
55	60406	
55	60395	
55	60412	
55	60422	
55	60426	
55	60417	
56	84072	
56	84120	
56	84161	1120
56	91426	
56	91379	
57	44591	
57	44586	
57	44581	
57	44569	
57	44575	
57	44598	
57	45796	
57	45802	
57	45789	
57	45781	
57	45765	
57	45774	
57	45808	
57	45814	
57	47050	
57	47062	
57	47086	
57	47079	
57	47092	
57	47072	
57	47100	
57	48445	
57	48452	
57	48439	
57	48418	
57	48427	660
57	48434	
57	48409	
57	48397	
57	49779	
57	49773	
57	49767	
57	49759	
57	49740	
57	49750	
57	49729	
57	49720	
57	50997	
57	50987	
57	51006	
57	51016	
57	51022	
57	51032	
57	51027	
57	51037	
57	52224	
57	52232	
57	52242	
57	52250	
57	52256	
57	52270	
57	52263	
57	52278	
57	53535	
57	53543	
57	53566	
57	53559	
57	53551	
58	91584	1242
58	91430	
58	91479	
58	91530	
59	90033	1220
59	89976	
59	89917	
59	89863	
60	27585	
60	27597	
60	27616	
60	27622	
60	27590	
60	27603	
60	27629	
60	27610	
60	28809	
60	28832	
60	28828	
60	28835	
60	28824	
60	28819	
60	28814	
60	28838	
60	30022	
60	30029	
60	30053	
60	30036	
60	30047	
60	30041	452
60	30058	
60	30064	
60	31308	
60	31316	
60	33969	
60	33947	
60	33977	
60	33953	
60	33957	
60	33962	
60	33939	
60	33930	
60	36905	
60	36915	
60	36944	
60	36924	
60	36935	
60	36958	
60	36951	
61	107344	
61	107418	1476
61	107401	
61	107438	
61	107365	
61	107458	
61	107383	
61	109773	
61	109753	
61	109790	
61	109734	
61	109712	
61	109693	
61	110972	
61	111007	
62	64108	
62	65745	
62	65798	
62	65476	
62	65524	856
63	140431	
63	140412	
63	141695	
63	141712	
63	141728	
63	141742	1948
63	141755	
63	141768	
63	141780	
63	142941	
63	142956	
63	142968	
63	142995	
63	142981	
63	143024	
63	143011	
63	144188	
63	144213	
63	144198	
63	144227	
63	144238	
63	144249	
64	141810	1950
64	141818	
64	141825	
64	141833	
65	105750	
65	110511	1520
65	110475	
65	110438	
66	105586	1448
66	105549	
66	105515	
66	106874	
66	106841	
66	110354	
66	110394	
67	99130	
67	100593	1386
67	100395	
67	101826	
68	126169	
68	126184	
68	126248	
68	126278	
68	126259	
68	126268	
68	128062	1767
69	108311	
69	108291	
69	110628	1521
69	110658	
69	112038	
69	111852	
69	112006	
69	113484	
70	2585	
70	2577	
70	2595	
70	2565	
70	2549	
70	2553	
70	3973	
70	3965	
70	3960	
70	3954	
70	3944	
70	3935	
70	3926	
70	6677	
70	6689	
70	6632	
70	6641	
70	6647	
70	6668	
70	6658	
70	9331	
70	9326	
70	9320	
70	9315	
70	9305	
70	9309	
70	9300	
70	11861	
70	11855	
70	11848	
70	11841	
70	11834	
70	11868	
70	11828	
70	14344	
70	14336	
70	14364	
70	14370	
70	14351	
70	14358	252
70	14375	
70	15598	
70	15591	
70	15556	
70	15577	
70	15584	
70	15570	
70	15562	
70	16819	
70	16813	
70	16803	
70	16809	
70	16790	
70	16796	
70	16783	
70	17923	
70	17936	
70	17928	
70	17918	
70	17913	
70	17902	
70	17908	
70	19040	
70	19026	
70	19022	
70	19035	
70	19030	
70	19051	
70	21520	
70	21502	
70	21486	
70	21511	
70	21493	
70	21478	
70	22815	
70	22824	
70	22802	
70	22791	
70	22796	
70	22809	
70	25333	
70	25340	
70	25354	
70	25347	
70	25328	
70	25362	
70	25358	
70	26439	
70	26451	
70	26445	
70	26433	
70	26458	
70	26464	
70	26470	
70	27581	
70	27591	
70	27586	
70	27598	
70	27618	
70	27612	
70	27604	
70	30032	
70	30019	
70	30025	
71	51000	689
71	51010	
71	51019	
71	54876	
71	54886	
71	54903	
71	54895	
71	57639	
71	57645	
72	36957	
72	36950	
72	36932	
72	36942	
72	36911	
72	36921	
72	36901	
72	36893	
72	39796	
72	39803	
72	39809	
72	39814	
72	39824	
72	42202	
72	42207	
72	42196	605
72	42199	
72	42180	
72	43350	
72	43354	
72	43379	
72	43364	
72	43359	
72	43369	
72	43373	
72	43346	
73	85346	
73	85351	
73	85339	
73	85330	
73	85323	
73	85316	
73	85310	
73	87274	1171
73	87286	
73	87281	
73	89093	
73	89082	
73	89111	
73	89103	
73	90865	
73	90874	
73	90901	
73	90883	
73	90892	
74	96807	
74	96814	
74	98205	1352
74	98216	
74	98223	
74	98231	
75	108269	1490
75	108292	
75	109401	
75	115303	
75	115463	
75	115413	
76	103719	
76	106369	
76	106382	
76	107548	
76	108672	
76	108635	1493
76	111098	
76	111124	
76	111136	
76	114208	
76	116133	
77	53558	
77	53565	
77	53572	
77	53580	
77	53585	
77	54892	
77	54900	
77	54907	
77	54917	
77	54921	
77	54912	
77	54926	
77	54929	
77	56281	
77	56278	
77	56265	
77	56261	749
77	56272	
77	56256	
77	56236	
77	56250	
77	56243	
77	57682	
77	57642	
77	57655	
77	57676	
77	57661	
77	57650	
77	57668	
77	57636	
78	103665	
78	103680	
78	104901	
78	104934	
78	104919	
78	104952	
78	104966	
78	105032	
78	104983	
78	105018	
78	105001	
78	106177	
78	106196	
78	106232	1455
78	106250	
78	106213	
78	106268	
78	106287	
78	106300	
78	106313	
78	107492	
78	107479	
78	107449	
78	107430	
78	107352	
78	107465	
78	107389	
78	107409	
78	107371	
78	108521	
78	108502	
78	108537	
78	108556	
78	108572	
78	108627	
78	108602	
78	108588	
78	108616	
78	109814	
78	109761	
78	109713	
78	109741	
78	109733	
78	109828	
78	109694	
78	111067	
78	111052	
78	111015	
78	110936	
78	110998	
78	110978	
78	111033	
78	110958	
78	111081	
78	112353	
78	112496	
78	112373	
78	112328	
78	112479	
78	112438	
78	112395	
78	112417	
78	112460	
78	114039	
78	113984	
78	114089	
78	114063	
78	113952	
78	114014	
78	114135	
78	114113	
78	116063	
78	116037	
78	116012	
78	115960	
78	115984	
78	115936	
78	115908	
78	118108	
78	118086	
78	118063	
78	118009	
78	118035	
78	117979	
78	117949	
78	117914	
78	120095	
78	120173	
78	120151	
78	120124	
79	58658	
79	60021	784
79	62863	
79	62905	
79	65993	
79	66035	
79	67640	
79	69415	
79	71066	
79	72725	
80	46639	
80	46490	
80	46601	
80	46529	
80	46568	639
81	143069	
81	143062	
81	143053	
81	143022	1971
81	143035	
81	143009	
81	142993	
81	142980	
81	143044	
81	144285	
81	144294	
82	47123	
82	47113	
82	47098	
82	47104	
82	47093	
82	48458	
82	48466	
82	48451	
82	48440	
82	48446	
82	49794	
82	49786	
82	49772	
82	49778	
82	49766	
82	51036	
82	51041	
82	51048	
82	51031	691
82	51026	
82	52293	
82	52284	
82	52276	
82	52268	
82	52261	
82	53589	
82	53584	
82	53564	
82	53577	
82	53570	
82	54925	
82	54915	
82	54920	
82	54911	
82	54906	
83	24604	
83	25803	
83	26938	
83	29397	
83	29464	446
83	29428	
83	33343	
84	19212	325
84	19226	
84	27760	
84	27766	
84	27778	
85	4586	
85	4541	
85	4630	
85	7303	148
86	69313	
86	69187	
86	71063	938
86	76413	
86	78037	
86	82720	
86	84455	
87	86204	
87	86267	
87	86332	
87	86410	
87	87986	
87	88039	1187
87	91590	
87	93193	
87	93248	
87	93297	
87	93344	
87	93387	
88	126282	
88	126290	1738
88	126274	
88	126263	
88	126257	
88	128090	
88	128096	
88	128103	
88	128110	
89	15622	
89	15615	
89	15608	
89	15599	
89	15592	
89	15587	
89	19045	
89	19052	324
89	19042	
89	19058	
89	19070	
89	19064	
90	78496	
90	78488	
90	78505	
90	78481	
90	81840	
90	81852	
90	81863	1087
91	11852	
91	11872	
91	11886	
91	11879	
91	11864	
91	11857	
91	14393	
91	14381	
91	14376	
91	14371	
91	14387	
91	14359	
91	14365	
91	15620	
91	15578	
91	15597	
91	15604	
91	15612	
91	15590	269
91	15585	
91	16804	
91	16808	
91	16818	
91	16812	
91	16823	
91	16826	
91	16831	
91	17947	
91	17940	
91	17954	
91	17934	
92	101010	
92	101001	
92	101020	
92	101015	
92	101012	
92	102414	
92	102426	
92	102420	
92	102438	
92	102431	
92	102452	
92	102445	
92	102459	
92	103874	
92	103854	
92	103867	
92	103860	
92	103836	
92	103843	
92	103848	
92	103881	
92	105162	
92	105176	
92	105183	
92	105198	
92	105169	
92	105191	
92	105204	
92	105209	
92	106427	
92	106435	
92	106442	
92	106449	
92	106457	1458
92	106464	
92	106472	
92	106478	
92	107622	
92	107605	
92	107627	
92	107617	
92	107611	
92	107639	
92	107646	
92	107633	
92	108729	
92	108734	
92	108749	
92	108756	
92	108741	
92	108764	
92	108773	
92	108781	
92	109930	
92	109936	
92	109924	
92	109942	
92	109948	
92	109954	
92	109962	
92	109969	
92	111211	
92	111217	
92	111203	
92	111195	
92	111224	
92	111243	
92	111233	
92	111250	
92	112671	
92	112662	
92	112627	
92	112636	
92	112644	
92	112653	
92	112683	
92	112677	
92	114316	
92	114335	
92	114345	
92	114355	
92	114327	
92	114374	
92	114364	
92	114304	
92	116263	
92	116272	
92	116280	
92	116245	
92	116303	
92	116296	
92	116288	
92	116255	
92	118268	
92	118278	
92	118299	
92	118341	
92	118311	
92	118289	
92	118333	
92	118322	
92	120451	
92	120442	
92	120403	
92	120410	
92	120421	
92	120395	
92	120432	
92	120386	
92	122450	
92	122422	
92	122435	
92	122415	
92	122406	
92	122429	
92	122443	
92	122399	
92	124400	
92	124391	
92	124383	
92	124377	
92	124369	
92	124354	
92	124362	
92	124345	
93	1186	
93	1194	
93	1172	
93	1178	42
93	1163	
93	1202	
93	1209	
93	2593	
93	2598	
93	2603	
93	2623	
93	2609	
93	2616	
93	2584	
93	5318	
93	5344	
93	5359	
93	5325	
93	5333	
93	5352	
94	69962	
94	69946	
94	69955	
94	69937	
94	71648	
94	71654	
94	71640	
94	71620	
94	71667	
94	71674	
94	71660	
94	71630	
94	73332	975
94	73339	
94	73346	
94	73353	
94	73324	
94	73305	
94	73315	
94	73362	
94	75138	
94	75131	
94	75145	
94	75124	
95	75102	
95	75108	
95	75116	
95	75159	
95	75152	991
96	20904	
96	20937	347
96	22415	
96	24907	
97	105103	
97	105086	
97	104985	
97	105069	
97	105017	
97	105002	
97	105031	
97	105044	
97	105055	
97	106270	
97	106288	
97	107453	
97	107502	
97	107491	1479
97	107551	
97	107538	
97	107478	
97	107466	
97	107514	
97	107527	
97	108603	
97	108591	
97	109861	
97	109849	
97	109784	
97	109839	
97	109799	
97	109813	
97	109826	
97	111038	
97	111054	
97	112523	
97	112507	
97	112493	
97	112461	
97	112478	
97	112444	
97	114214	
97	114232	
97	114195	
97	114179	
97	114152	
97	114165	
97	114133	
97	114114	
97	114093	
98	93949	
98	93944	
98	93938	
98	93963	
98	93954	
98	93958	
98	95436	
98	95430	
98	95425	
98	95419	
98	95413	1299
98	95405	
98	95395	
99	61811	
99	61816	
99	61823	
99	61829	
99	64828	
99	64823	
99	64804	
99	64818	
99	64833	
99	64811	
99	66466	
99	66471	
99	66460	865
99	66454	
99	68185	
99	68137	
100	18740	320
100	22413	
100	24802	
100	24769	
101	39828	
101	39818	
101	39808	
101	39836	
101	39844	
101	43390	620
101	43374	
101	43381	
101	43396	
101	44619	
101	44611	
101	44604	
101	44599	
102	1179	
102	1188	
102	1195	
102	1203	
102	1218	
102	1211	
102	3997	
102	6705	
102	6713	
102	6719	
102	6696	
102	6726	
102	8027	
102	8000	
102	8010	
102	7983	
102	7992	
102	8033	
102	7975	
102	8020	
102	9372	
102	9365	
102	9378	
102	9358	
102	9352	181
102	9330	
102	9345	
102	9337	
102	9325	
102	9321	
102	10635	
102	10641	
102	10647	
102	10656	
102	10629	
102	10651	
102	11913	
102	11908	
102	11896	
102	11890	
102	11902	
102	11876	
102	11883	
103	111190	
103	111208	
103	111199	
103	111182	
103	112666	
103	112657	
103	112648	
103	112639	
103	112630	
103	112619	
103	112610	
103	112590	
103	112603	
103	114349	
103	114338	
103	114330	
103	114372	
103	114362	
103	114319	
103	114307	1564
103	114293	
103	114282	
103	114271	
103	114258	
103	116294	
103	116273	
103	116264	
103	116283	
103	116246	
103	116238	
103	116256	
103	116230	
103	116207	
103	118279	
103	118314	
103	118300	
103	118290	
103	120389	
103	120412	
103	120405	
103	120398	
103	120439	
103	120424	
103	122442	
103	122396	
103	122389	
103	122369	
103	122378	
104	14380	
104	14367	
104	17914	
104	17919	
104	17911	
104	17922	301
104	17946	
104	17933	
104	17925	
104	17938	
104	20229	
104	20199	
104	20205	
104	20211	
104	20220	
104	20217	
104	21541	
104	21523	
104	21530	
104	21514	
104	21549	
105	89117	
105	89108	
105	89088	1205
105	89099	
105	89077	
105	89067	
106	1196	43
106	1205	
106	1189	
106	1212	
107	2573	
107	2583	
107	2610	
107	2592	74
107	2599	
107	2605	
107	6662	
108	89140	
108	89134	
108	89119	
108	89128	
108	90870	
108	90879	
108	90888	
108	90897	
108	90905	1229
108	90910	
108	90917	
108	90924	
108	92425	
108	92430	
108	92446	
108	92437	
108	92452	
108	92458	
108	92471	
108	92476	
108	92464	
108	93946	
108	93982	
108	93959	
108	93955	
108	93964	
108	93966	
108	93975	
108	93970	
109	120376	
109	120366	
109	120387	1654
109	122400	
109	122393	
110	36980	
110	36985	
110	36991	
110	36996	
110	37007	
110	37002	
110	38490	
110	38479	
110	38485	
110	38470	
110	38474	558
110	38464	
110	38459	
110	39864	
110	39841	
110	39854	
110	39871	
110	39860	
110	39848	
110	41076	
110	41069	
110	41082	
110	41088	
110	41092	
111	26484	
111	26478	
111	26506	
111	26492	
111	26500	
111	26510	
111	26473	
111	26516	
111	27621	
111	27636	
111	27642	
111	27666	
111	27661	
111	27628	
111	27649	
111	27656	
111	28859	
111	28855	
111	28850	
111	28863	
111	28846	
111	28834	
111	28841	
111	28837	
111	30099	
111	30094	
111	30090	
111	30076	454
111	30084	
111	30069	
111	30063	
111	30057	
111	31361	
111	31334	
111	31325	
111	31344	
111	31315	
111	31351	
111	31356	
111	31307	
111	33990	
111	33997	
111	33976	
111	34013	
111	33971	
111	33982	
111	34002	
111	34008	
112	57698	
112	57693	
112	57689	
112	57685	
112	57677	
112	57681	
112	57669	
112	59007	
112	59019	777
112	59040	
112	59024	
112	59016	
112	59011	
112	59034	
112	59029	
112	60440	
112	60463	
112	60458	
112	60471	
112	60477	
112	60452	
112	60446	
112	61879	
112	61868	
112	61873	
112	61862	
112	61855	
112	61831	
112	61848	
112	61839	
113	41048	
113	41035	587
113	41042	
113	41028	
113	41021	
113	42195	
114	60459	
114	60453	
114	60466	
114	60445	
114	61861	
114	61853	
114	61838	
114	61846	813
114	61830	
114	63297	
114	63289	
114	63283	
114	63303	
114	63273	
114	63277	
114	64844	
114	64838	
115	144251	
115	144260	
115	144242	
115	144287	
115	144271	1986
115	144279	
115	144296	
115	144305	
116	19043	
116	20196	
116	21488	
116	21495	
116	21503	
116	21512	355
117	19046	
117	19053	
117	19060	
117	21521	356
117	21528	
117	21539	
117	21546	
118	11892	
118	11878	
118	11885	
118	14378	
118	14384	
118	14394	
118	14388	253
118	14399	
118	14404	
119	30079	
119	30087	
119	31346	
119	31337	467
119	31327	
119	32644	
119	32650	
119	32657	
120	53587	718
120	53581	
120	57678	
120	57672	
121	130548	
121	130693	
121	130743	1806
121	134008	
122	22498	
122	26138	412
122	26111	
122	26082	
122	28431	
123	124415	
123	124408	
123	124401	
123	124388	
123	124394	
123	124381	
123	124373	
123	126310	
123	126307	
123	126318	
123	126314	
123	126323	
123	126334	
123	126329	
123	128173	
123	129921	
123	129909	
123	129904	
123	129913	
123	129899	
123	129894	
123	129918	
123	131640	
123	131636	
123	131629	
123	131624	1823
123	131616	
123	131609	
123	131600	
123	133371	
123	133363	
123	133368	
123	133357	
123	133350	
123	133342	
