Feature_Index	Peak_Index	Filtered_Peak_Index
0	117608	1612
0	117567	
0	117645	
0	117777	
0	117730	
0	117687	
0	117526	
0	117482	
0	119911	
0	119865	
0	119691	
0	119735	
0	119778	
0	119648	
0	119823	
1	734	
1	768	25
1	802	
1	839	
2	48028	
2	48142	
2	48120	
2	48058	650
2	48092	
3	74636	
3	74723	
3	74677	
3	74763	
3	74588	
3	76388	
3	76434	
3	76480	
3	76340	
3	78009	
3	78051	
3	78098	
3	77958	
3	78137	
3	77916	
3	79769	
3	79721	
3	79621	
3	79672	1048
3	79809	
3	79576	
4	685	
4	757	24
4	720	
4	796	
4	833	
4	2228	
4	2083	
4	2159	
4	2195	
4	2120	
4	3546	
4	3580	
4	3476	
4	3513	
4	3616	
4	3437	
4	4854	
4	4887	
4	4920	
4	4952	
4	4815	
4	4777	
5	102207	
5	102191	
5	102148	
5	102170	
5	102123	
5	103581	
5	103494	
5	103517	
5	103559	
5	103539	
5	103467	
5	106163	
5	106178	
5	106199	
5	107327	
5	107353	
5	107304	1475
5	107260	
5	107280	
5	107238	
5	108396	
5	108415	
5	108436	
5	108479	
5	108457	
5	108505	
5	108524	
5	109703	
5	109614	
5	109636	
5	109683	
5	109592	
5	109659	
5	109572	
5	110961	
5	112329	
5	112221	
5	112196	
5	112276	
5	112249	
5	112301	
5	112354	
5	113987	
5	113865	
5	113892	
5	113918	
5	113953	
5	115802	
5	115837	
5	115909	
5	115760	
5	115872	
5	115720	
5	117846	
5	117810	
5	117772	
6	21799	
6	21835	
6	21871	
6	21943	360
6	21908	
7	18262	
7	18229	
7	20518	
7	20579	
7	20493	
7	20544	343
8	53417	
8	53398	
8	53360	714
8	53380	
8	53343	
8	53324	
8	56062	
8	56081	
9	79947	
9	81547	
9	81591	1081
9	81612	
9	81570	
9	81630	
9	81649	
9	81672	
9	83316	
9	85035	
9	85067	
9	85093	
9	85116	
9	85138	
9	85163	
9	87087	
9	87009	
9	87057	
9	87036	
9	86951	
9	86983	
10	27443	
10	27426	
10	27460	
10	28655	438
10	28676	
11	139474	1919
11	142122	
11	142106	
11	142141	
11	142165	
12	18887	
12	18852	
12	18831	
12	18870	
12	18808	
12	20043	
12	20022	
12	19957	
12	19977	335
12	20000	
12	19930	
12	21259	
12	21283	
12	21234	
12	21306	
12	21326	
12	21208	
12	22560	
12	22582	
13	994	37
13	890	
13	923	
13	865	
14	17808	
14	17740	
14	17756	294
14	17775	
14	17790	
14	17822	
15	1036	
15	1022	
15	1006	39
15	989	
15	2398	
15	2434	
15	2468	
15	2451	
15	5154	
15	5169	
15	5189	
15	5209	
16	16587	
16	16604	
16	16663	
16	16619	
16	16570	
16	16633	
16	16647	
16	17755	
16	17739	
16	17702	
16	17720	292
16	17774	
16	17682	
16	17658	
16	18902	
16	18829	
16	18849	
16	18868	
16	18885	
16	18806	
16	19980	
16	19932	
16	20003	
16	19961	
16	20024	
16	20044	
17	63695	
17	63741	
17	63832	
17	66891	
17	66848	
17	68642	
17	68687	
17	68741	
17	70512	921
17	75642	
17	75694	
17	75755	
17	75828	
17	77446	
17	77384	
17	77272	
18	95207	
18	95222	
18	95237	1295
18	95186	
18	95168	
19	136849	
19	139519	
19	140820	
19	140800	1937
20	114884	1573
20	114949	
20	123083	
20	123029	
21	103475	
21	106091	
21	106065	1453
21	106116	
21	107291	
21	107267	
21	107243	
21	109597	
21	109622	
21	109648	
21	109576	
21	110826	
22	105969	
22	105991	
22	105944	
22	106014	
22	106039	1451
22	107221	
22	107182	
22	107200	
22	107168	
22	109534	
22	109513	
22	109556	
22	110798	
22	110772	
22	110746	
23	60243	
23	60265	
23	60284	
23	60297	
23	60347	
23	60315	
23	60334	
23	64693	
23	64707	
23	64632	
23	64678	847
23	64646	
23	64719	
23	64664	
24	22652	
24	22607	
24	22633	
24	22674	365
25	121351	
